email;passwordSalt;passwordHash;tipo;ativo
mfp@issmf.ipp.pt;0fvuXyl8O5Wqx8r+lM2siw==;WEk1RxaaFDVIsB8i2f5IVUkG8dmO2moPhnjzPhL8vBs=;DOCENTE;true
avn@issmf.ipp.pt;ZmvCmI+zU075GIvLz5DhjA==;NkjuMA9Uj9kI5PaxaQWEYwwm0kf97bL4BuyUhAYNhIc=;DOCENTE;true
ava@issmf.ipp.pt;GZiWrF5wBd1RGM6xG5MArg==;dlNwtdmrWnBbarF4GNBR0UFLvVyAqJ01M3zFq4kcl4Q=;DOCENTE;true
20260012@issmf.ipp.pt;6DO/0cO0mq+k6+PcCv3qpA==;zOQ0rcHp500N3So/BdDXPR8aQB+hPogiM3akR3xkFMQ=;ESTUDANTE;true
20260013@issmf.ipp.pt;hIyjNqrmF8jisTTUD8GksA==;Wd7NmzGmxIhP5/zcu+Re7IH+g+mR3cEFX2j/D5Ihas8=;ESTUDANTE;true
20260014@issmf.ipp.pt;eFt0jtZ/BadUZybsNNrtCg==;JZ6+ehY6+03mYuOLS4b5KOtpR5i/ucNR0G5FLJazcOY=;ESTUDANTE;true
20260015@issmf.ipp.pt;UqfL2EWqrny01l2kMFBW4g==;SqKMjrLH+AjAjdo86pzR7RI8Ibh8ZfjqvJZth15h6Ok=;ESTUDANTE;true
20260016@issmf.ipp.pt;2aq96e5y/QBJyHCzBSWH0w==;FZSXDBrRB+Aep3aq84oz9d8nNRAXIx80GJh8fLAlD6k=;ESTUDANTE;true
20260017@issmf.ipp.pt;fOt7loLuwGPmk1wjT3SXJA==;BCXJHQIRaee1IL3ks85nxlqjZ7OaRqx0ASaHV38Hsn4=;ESTUDANTE;true
20260018@issmf.ipp.pt;KlvxsaiMlGIXhDh+PzlptQ==;Ts/61AM/48r7oxHvs8MJdk6PlzobAbuJD/ascKgWLK0=;ESTUDANTE;true
backoffice@issmf.ipp.pt;LxU2v8fm4fCx9IzxQ7ioFA==;W8eh4Qs5jH9666HZdcxeZ9sFe6otGbBhmYwZK16mIps=;GESTOR;true
