id;email;passwordHash;passwordSalt;tipoUtilizador;ativo;createdAt;updatedAt
14;mfp@issmf.ipp.pt;vC12CM1bEQnhE1hmDTSi/Q==:e5MSd4mFmjF3Fp7xmFMqdTzsqTduzsVYglyxvVbcZRE=;;DOCENTE;true;2026-05-31T20:26:20.381173700;2026-05-31T20:26:20.381173700
15;avn@issmf.ipp.pt;8mjHMzOZUbYKUVAYvuhpIA==:KMkXbF6fJ9r+Dz3DjG0te2eHUkm9gw3LhMSWxRBmpUc=;;DOCENTE;true;2026-05-31T20:26:20.384178800;2026-05-31T20:26:20.384178800
16;ava@issmf.ipp.pt;ZX38UhmPXVAeOR8H6bqTww==:mZyb3u5x4i5YK8Hz996OOlJaGaRPYknWfKwEvD4YnXw=;;DOCENTE;true;2026-05-31T20:26:20.387191;2026-05-31T20:26:20.387191
17;20260012@issmf.ipp.pt;39sGRgljtG+RhYnrDdOqNQ==:B49opZXALPKdaw1ZiDdA6RTCZvDibqsIByvGIvtGe2s=;;ESTUDANTE;true;2026-05-31T20:26:20.390190500;2026-05-31T20:26:20.390190500
18;20260013@issmf.ipp.pt;oPGzu8pacnwlOw0eAdysxQ==:/RBeONGiPQRo/9IoE9CBD22Y+FcxcZ92dOZX8XIucnQ=;;ESTUDANTE;true;2026-05-31T20:26:20.392190200;2026-05-31T20:26:20.392190200
19;20260014@issmf.ipp.pt;PybYH8mIIMd3EBLV9Pug5A==:NJlstNLJMFgUWpIsEbSPPU4RBtk62GO4JmlyEapxpLY=;;ESTUDANTE;true;2026-05-31T20:26:20.394190900;2026-05-31T20:26:20.394190900
20;20260015@issmf.ipp.pt;ri+ejR/WjTCvgyYnO+XA+g==:t1pEodRID74+7YIhbQtC9/U0Ek3nb99KA6sof7cIj6A=;;ESTUDANTE;true;2026-05-31T20:26:20.396189900;2026-05-31T20:26:20.396189900
21;20260016@issmf.ipp.pt;G1WiITlWWjZ7usWKTwJGtQ==:CfhEU8JC4uYZjBhU14IHjZG3wWzW3A/8AGFwW9Y/RRU=;;ESTUDANTE;true;2026-05-31T20:26:20.399190900;2026-05-31T20:26:20.399190900
22;20260017@issmf.ipp.pt;TkbXvr6YK4sPhFF/BFYkKQ==:a/gPzXZrVWcZq+WYAtaUgANb+ecIP6DrMsd9SFRvA0I=;;ESTUDANTE;true;2026-05-31T20:26:20.400716400;2026-05-31T20:26:20.400716400
23;20260018@issmf.ipp.pt;oRbQP24uxOTepYfABcnrLg==:9lANFm2ExRHVTK2tREimsQ9LQWsUIkUDpYRqkE9vnqY=;;ESTUDANTE;true;2026-05-31T20:26:20.403716300;2026-05-31T20:26:20.403716300
